net,length_um
_005_,167.48µm
_132_,161.915µm
alu0.op\[0\],148.54µm
_050_,138.44µm
_046_,125.89µm
net7,125.46µm
net8,114.78µm
_060_,112.58µm
net2,110.34µm
clk,108.29µm
net11,107.36µm
_045_,105.3µm
net10,104.28µm
clknet_2_1__leaf_clk,89.82µm
_054_,87.56µm
clknet_0_clk,87.18µm
net3,85.26µm
alu0.op\[2\],79.88µm
clknet_2_0__leaf_clk,78.78µm
net9,73.82µm
clknet_2_3__leaf_clk,65.75µm
_150_,60.79µm
alu0.B\[0\],59.63µm
clknet_2_2__leaf_clk,58.44µm
net6,57.17µm
_071_,54.74µm
alu0.A\[3\],53.7µm
_135_,53.22µm
net4,53.1µm
count\[3\],52.08µm
alu0.A\[4\],51.02µm
net5,49.97µm
_069_,49.42µm
_139_,49.1µm
alu0.B\[1\],47.08µm
alu0.B\[3\],45.14µm
count\[1\],44.3µm
_077_,43.88µm
alu0.B\[5\],42.42µm
alu0.B\[6\],42.24µm
_042_,40.46µm
uo_out[0],39.53µm
_128_,38.98µm
alu0.A\[1\],35.98µm
uo_out[1],35.58µm
uo_out[3],35.34µm
_096_,33.87µm
alu0.A\[6\],32.98µm
_000_,31.28µm
_133_,31.08µm
_108_,30.86µm
alu0.B\[4\],30.125µm
_104_,29.76µm
count\[4\],29.36µm
_152_,29.02µm
uo_out[2],28.62µm
_066_,27.54µm
alu0.A\[2\],27.46µm
alu0.A\[5\],27.04µm
_123_,26.92µm
_145_,26.4µm
_035_,25.78µm
_134_,25.1µm
uo_out[7],24.91µm
_137_,24.68µm
_099_,24.605µm
_110_,24.06µm
alu0.op\[1\],22.06µm
_032_,21.94µm
alu0.A\[0\],20.985µm
_130_,20.86µm
alu0.B\[2\],20.48µm
_144_,20.04µm
_033_,19.98µm
_048_,19.385µm
_131_,19.22µm
_093_,19.155µm
_052_,19.04µm
_138_,18.82µm
_118_,17.96µm
_094_,17.62µm
_111_,17.54µm
_147_,16.88µm
_091_,16.86µm
uo_out[6],16.59µm
_002_,16.54µm
_053_,15.48µm
_041_,15.46µm
_143_,15.46µm
_127_,15.38µm
_089_,14.8µm
_125_,14.72µm
_101_,14.14µm
_149_,14.14µm
_114_,13.62µm
_121_,13.5µm
_141_,12.93µm
_153_,12.61µm
_107_,12.3µm
_109_,12.24µm
_038_,12.22µm
_095_,12.12µm
_068_,11.88µm
_031_,11.67µm
_082_,11.66µm
uo_out[5],11.54µm
count\[2\],11.42µm
_120_,11.28µm
_115_,11.2µm
uo_out[4],11.2µm
_124_,10.92µm
_154_,10.48µm
_146_,10.36µm
_065_,10.32µm
_070_,9.88µm
_058_,9.86µm
uio_out[0],9.21µm
_106_,9.16µm
net28,8.94µm
count\[0\],8.68µm
_039_,8.62µm
_057_,8.48µm
_043_,8.4µm
_040_,8.16µm
_136_,8.12µm
_119_,8.02µm
_021_,7.34µm
_075_,7.26µm
_072_,7.24µm
_047_,7.1µm
_025_,6.76µm
net1,6.72µm
_083_,6.62µm
_079_,6.54µm
_116_,6.52µm
net23,6.48µm
_014_,6.38µm
_105_,6.32µm
_148_,6.3µm
_020_,6.26µm
_117_,6.26µm
_026_,6.16µm
_030_,5.96µm
_129_,5.9µm
_081_,5.84µm
_090_,5.84µm
_056_,5.72µm
_092_,5.72µm
_055_,5.6µm
_100_,5.6µm
net14,5.51µm
_080_,5.36µm
_015_,5.34µm
_037_,5.34µm
_034_,5.22µm
done,5.22µm
_022_,5.14µm
net13,5.05µm
net12,5.05µm
_023_,5.04µm
_018_,5µm
_011_,4.92µm
_113_,4.92µm
net16,4.64µm
net17,4.64µm
net18,4.64µm
net19,4.64µm
net21,4.64µm
net25,4.64µm
_126_,4.48µm
_004_,4.46µm
_078_,4.46µm
_061_,4.365µm
_088_,4.34µm
_001_,4.265µm
rst_n,4.15µm
_084_,4.14µm
_029_,4.08µm
net20,3.69µm
_028_,3.54µm
_074_,3.54µm
_016_,3.18µm
_009_,3.08µm
_076_,3.08µm
_085_,3.08µm
_151_,3.08µm
ui_in[0],3.01µm
_036_,2.96µm
_087_,2.835µm
_010_,2.76µm
_003_,2.74µm
_013_,2.74µm
_019_,2.64µm
_051_,2.62µm
_063_,2.62µm
_112_,2.62µm
net15,2.6µm
net22,2.6µm
net24,2.6µm
_049_,2.52µm
_122_,2.52µm
_102_,2.5µm
_140_,2.5µm
net27,2.3µm
_006_,2.28µm
_012_,2.28µm
_007_,2.16µm
_059_,2.04µm
net26,1.92µm
_097_,1.72µm
_024_,1.7µm
_027_,1.7µm
_098_,1.7µm
_044_,1.61µm
_017_,1.545µm
_067_,1.38µm
_008_,1.36µm
_086_,1.26µm
_103_,1.26µm
_142_,1.26µm
_064_,1.25µm
_073_,1.17µm
_062_,1.14µm
