Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_33_330,VPWR,li1,155.0200,92.4800,1.800000
FILLER_33_327,VPWR,li1,153.8700,92.4800,1.800000
FILLER_33_324,VPWR,li1,152.4900,92.4800,1.800000
FILLER_33_321,VPWR,li1,151.1100,92.4800,1.800000
FILLER_33_318,VPWR,li1,149.7300,92.4800,1.800000
FILLER_33_315,VPWR,li1,148.3500,92.4800,1.800000
FILLER_33_312,VPWR,li1,146.9700,92.4800,1.800000
FILLER_33_309,VPWR,li1,145.5900,92.4800,1.800000
FILLER_33_305,VPWR,li1,143.7500,92.4800,1.800000
FILLER_33_302,VPWR,li1,142.3700,92.4800,1.800000
FILLER_33_299,VPWR,li1,140.9900,92.4800,1.800000
FILLER_33_296,VPWR,li1,139.6100,92.4800,1.800000
FILLER_33_293,VPWR,li1,138.2300,92.4800,1.800000
FILLER_33_290,VPWR,li1,136.8500,92.4800,1.800000
FILLER_33_287,VPWR,li1,135.4700,92.4800,1.800000
FILLER_33_284,VPWR,li1,134.0900,92.4800,1.800000
FILLER_33_281,VPWR,li1,132.7100,92.4800,1.800000
FILLER_33_277,VPWR,li1,130.8700,92.4800,1.800000
FILLER_33_274,VPWR,li1,129.4900,92.4800,1.800000
FILLER_33_271,VPWR,li1,128.1100,92.4800,1.800000
FILLER_33_268,VPWR,li1,126.7300,92.4800,1.800000
FILLER_33_265,VPWR,li1,125.3500,92.4800,1.800000
FILLER_33_262,VPWR,li1,123.9700,92.4800,1.800000
FILLER_33_259,VPWR,li1,122.5900,92.4800,1.800000
FILLER_33_256,VPWR,li1,121.2100,92.4800,1.800000
FILLER_33_253,VPWR,li1,119.8300,92.4800,1.800000
FILLER_33_249,VPWR,li1,117.9900,92.4800,1.800000
FILLER_33_246,VPWR,li1,116.6100,92.4800,1.800000
FILLER_33_243,VPWR,li1,115.2300,92.4800,1.800000
FILLER_33_240,VPWR,li1,113.8500,92.4800,1.800000
FILLER_33_237,VPWR,li1,112.4700,92.4800,1.800000
FILLER_33_234,VPWR,li1,111.0900,92.4800,1.800000
FILLER_33_231,VPWR,li1,109.7100,92.4800,1.800000
FILLER_33_228,VPWR,li1,108.3300,92.4800,1.800000
FILLER_33_225,VPWR,li1,106.9500,92.4800,1.800000
FILLER_33_221,VPWR,li1,105.1100,92.4800,1.800000
FILLER_33_218,VPWR,li1,103.7300,92.4800,1.800000
FILLER_33_215,VPWR,li1,102.3500,92.4800,1.800000
FILLER_33_209,VPWR,li1,99.5900,92.4800,1.800000
FILLER_33_206,VPWR,li1,98.2100,92.4800,1.800000
FILLER_33_203,VPWR,li1,96.8300,92.4800,1.800000
FILLER_33_200,VPWR,li1,95.4500,92.4800,1.800000
FILLER_33_197,VPWR,li1,94.0700,92.4800,1.800000
FILLER_33_195,VPWR,li1,92.6900,92.4800,1.800000
FILLER_33_192,VPWR,li1,91.7700,92.4800,1.800000
FILLER_33_189,VPWR,li1,90.3900,92.4800,1.800000
FILLER_33_186,VPWR,li1,89.0100,92.4800,1.800000
FILLER_33_183,VPWR,li1,87.6300,92.4800,1.800000
FILLER_33_180,VPWR,li1,86.2500,92.4800,1.800000
FILLER_33_176,VPWR,li1,83.9500,92.4800,1.800000
FILLER_33_173,VPWR,li1,83.0300,92.4800,1.800000
FILLER_33_169,VPWR,li1,80.7300,92.4800,1.800000
FILLER_33_166,VPWR,li1,79.5800,92.4800,1.800000
FILLER_33_162,VPWR,li1,77.5100,92.4800,1.800000
FILLER_33_159,VPWR,li1,76.5900,92.4800,1.800000
FILLER_33_155,VPWR,li1,74.2900,92.4800,1.800000
FILLER_33_152,VPWR,li1,73.3700,92.4800,1.800000
FILLER_33_148,VPWR,li1,71.0700,92.4800,1.800000
FILLER_33_145,VPWR,li1,70.1500,92.4800,1.800000
FILLER_33_141,VPWR,li1,67.8500,92.4800,1.800000
FILLER_33_137,VPWR,li1,66.4700,92.4800,1.800000
FILLER_33_134,VPWR,li1,65.0900,92.4800,1.800000
FILLER_33_131,VPWR,li1,63.7100,92.4800,1.800000
FILLER_33_128,VPWR,li1,62.3300,92.4800,1.800000
FILLER_33_125,VPWR,li1,60.9500,92.4800,1.800000
FILLER_33_122,VPWR,li1,59.5700,92.4800,1.800000
FILLER_33_119,VPWR,li1,58.1900,92.4800,1.800000
FILLER_33_116,VPWR,li1,56.8100,92.4800,1.800000
